Olympic record,,,,,,,,,,,,,
Shot Putt,Name,Country,Distance in metres,Year,City,,,,,,,,
Men,,,,,,,,,,,,,
Women,,,,,,,,,,,,,
,,,,,,,,,,,,,
Athlete,Code,Gender,Throw,Throw,Throw,Throw,Throw,Throw,Best,Total,Number,Average,Record
,,,1,2,3,4,5,6,throw,thrown,of throws,,breaking
Brendan Mullins,IRE,Male,17.4,15,16.28,17.3,13.7,17.4,,,,,
Anna Popov,RUS,Female,NT,20.21,NT,22.43,22.37,NT,,,,,
Kelicia Peters,ENG,Female,16.38,16.8,16.65,17.42,14.53,21.34,,,,,
Pham Viet SY,CHN,Male,22.19,NT,15.17,16.28,14.47,20.3,,,,,
Kulyse Babwah,EGY,Male,17.76,19.52,22.4,21.16,20.14,20.35,,,,,
Ann Majors,USA,Female,20.52,19.08,15.56,NT,17.84,14.62,,,,,
Navi Dunbar,BRA,Male,23.47,23.36,17.61,NT,22.65,18.69,,,,,
Tan Zhi Hui,HKG,Male,16.88,15.86,20.4,23.3,22.86,17.14,,,,,
Stephanie Osta,SRI,Female,NT,16.07,20.05,22.76,21.56,14.18,,,,,
Abdul Maharaj,TUN,Male,19.41,14.14,14.78,23.12,16.42,14.35,,,,,
Gloria Chapman,USA,Female,NT,16.18,18.01,18.7,16.01,23.99,,,,,
Eden Miller,ENG,Male,18.14,NT,20.45,23.8,18.32,14.57,,,,,
Afiya Lalla,MAL,Female,20.65,20.17,16.05,15.91,NT,16.73,,,,,
Karen Roach,NZE,Female,NT,16.21,17.44,16.71,22.35,23.67,,,,,
Aiesha Mcmeo,RSA,Female,17.53,16.95,20.36,18.66,17.53,22.18,,,,,
Malcolm Huggins,IRE,Male,22.33,16.97,14.22,15.17,17.26,18.15,,,,,
Ashareen Mohammad,EGY,Male,15.17,20.1,22.77,23.69,14.89,18.26,,,,,
Bennard Diaz,NZE,Male,20.41,17.19,21.47,22.29,23.79,19.22,,,,,
Dianne Baptiste,MAL,Female,20.49,NT,15.66,22.72,18.38,16.46,,,,,
Alicia Crooks,USA,Female,20.87,23.47,15.74,23.39,19.5,17.85,,,,,
Nkese Antoine,FRA,Male,22.45,22.28,23.08,NT,23.59,20.32,,,,,
Olivia Semper,NZE,Female,16.55,22.49,16.13,23.83,20.93,15.92,,,,,
Jamie Nightingale,ENG,Male,NT,23.37,20.6,14.34,NT,19.12,,,,,
Neo Shun Jie,CHN,Male,19.19,20.45,21.72,19.7,21.4,14.84,,,,,
Sunil Ramlal,TUN,Male,15.46,23.41,21.35,22.23,15.36,14.94,,,,,
Sonya Munro,SRI,Female,15.97,14.35,NT,21.33,NT,22.59,,,,,
Rabi Iskandar,TUR,Male,21.47,17.68,21.48,17.04,16.96,22.19,,,,,
William Baoxian,MEX,Male,NT,14.87,21.47,14.27,18.6,23.89,,,,,
Wong Yin Ping,HKG,Male,15.59,20.41,15.86,18.22,19.18,21.71,,,,,
Cheryl Lewis,NZE,Female,18.79,18.81,NT,16.44,21.23,19.76,,,,,
Karen Peters,ENG,Female,23.71,20.68,22.13,22.11,20.27,23,,,,,
Jamila Daniel,BRA,Female,18.93,19.4,22.66,23.68,17.92,17.28,,,,,
Ryon Ramsay,USA,Male,18.45,22.99,17.75,22.99,19.92,17.82,,,,,
Odinga Richards,JAM,Female,16,20.72,23.09,18.98,22.63,18.31,,,,,
Leo Fernandez,MEX,Male,15.89,21.24,17.12,NT,21.82,19.02,,,,,
Dong Xu,CHN,Male,22.98,16.6,23.94,18.15,19.11,22.73,,,,,
Anna Lewis,IRE,Female,17.63,19.48,17.16,17.54,14.96,14.76,,,,,
Gary Clark,AUS,Male,22.56,16.61,22.25,14.91,23.54,17.88,,,,,
Juanito Castillo,MEX,Male,19.99,NT,15.87,18.13,21.55,21.87,,,,,
Sparkle Browne,MAL,Female,21.69,15.13,20.14,21.63,14.99,18.06,,,,,
Kiva Semper,SRI,Female,21.27,22.68,20.81,NT,17.85,17.16,,,,,
Kevin Roopan,ENG,Male,NT,19,14.79,23.85,15.61,18.07,,,,,
